Period,Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,Consumer Price Index for Food and Beverages,Net Foreign Direct Investment (US $ Million),FCNR(B)-Foreign Currency Non-Resident (Banks) (US $ Million),Foreign Trade Exports Total (US $ Million),Foreign Trade Imports Total (US $ Million),Foreign Trade Balance Total (US $ Million),Market Borrowing SG Gross Amount Raised (in Crore),Exchange Rate of Indian Rupee to US Dollar (Month End),rolling_mean_Commercial Paper (Amount Outstanding) (in Crore),rolling_mean_Direct Investment to India (US $ Million),rolling_mean_Foreign Direct Investment By India (US $ Million),rolling_mean_Net Portfolio Investment (US $ Million),rolling_mean_Total Investment Inflows (US $ Million),rolling_mean_External Commercial Borrowings Registrations (US $ Million),Consumer Price Index  (2012=100)_lag_1,Consumer Price Index  (2012=100)_lag_2,Consumer Price Index  (2012=100)_lag_3,Consumer Price Index  (2012=100)_lag_4,Consumer Price Index  (2012=100)_lag_5,Consumer Price Index  (2012=100)_lag_6,Consumer Price Index for Agricultural Labourer_lag_1,Consumer Price Index for Agricultural Labourer_lag_2,Consumer Price Index for Agricultural Labourer_lag_3,Consumer Price Index for Agricultural Labourer_lag_4,Consumer Price Index for Agricultural Labourer_lag_5,Consumer Price Index for Agricultural Labourer_lag_6,Consumer Price Index for Rural Labourer_lag_1,Consumer Price Index for Rural Labourer_lag_2,Consumer Price Index for Rural Labourer_lag_3,Consumer Price Index for Rural Labourer_lag_4,Consumer Price Index for Rural Labourer_lag_5,Consumer Price Index for Rural Labourer_lag_6,Consumer Price Index for Food and Beverages_lag_1,Consumer Price Index for Food and Beverages_lag_2,Consumer Price Index for Food and Beverages_lag_3,Consumer Price Index for Food and Beverages_lag_4,Consumer Price Index for Food and Beverages_lag_5,Consumer Price Index for Food and Beverages_lag_6
2018-11-01,140.8,126.1,121.6,914.0,921.0,139.7,1076.61,20433.31,26071.56,43655.19,-17583.62,39183.65,69.66,578026.56,3194.208333333334,985.6016666666666,-741.045,1467.5600000000002,2483.1666666666665,140.43333333333334,140.13333333333335,139.5666666666667,138.70000000000002,137.79999999999998,137.13333333333333,910.0,906.3333333333334,901.0,895.6666666666666,891.0,888.6666666666666,917.3333333333334,914.0,909.0,903.6666666666666,899.0,896.3333333333334,140.66666666666666,141.16666666666666,140.83333333333334,139.63333333333333,138.33333333333334,137.6
2018-12-01,140.1,133.9,119.7,913.0,921.0,138.2,3112.49,20839.86,27858.29,42351.02,-14492.73,43896.48,69.79,579175.8250000001,3397.713333333333,944.4466666666667,-318.08500000000004,2135.1783333333337,2665.1666666666665,140.56666666666666,140.43333333333334,140.13333333333335,139.5666666666667,138.70000000000002,137.79999999999998,912.3333333333334,910.0,906.3333333333334,901.0,895.6666666666666,891.0,919.3333333333334,917.3333333333334,914.0,909.0,903.6666666666666,899.0,140.0,140.66666666666666,141.16666666666666,140.83333333333334,139.63333333333333,138.33333333333334
2019-01-01,139.6,134.4,119.2,915.0,923.0,137.4,3681.52,21413.04,26407.36,41455.21,-15047.85,61131.15,71.03,560711.0816666667,3604.5783333333334,839.1416666666668,-1183.6200000000001,1581.8116666666665,2705.5,140.53333333333333,140.56666666666666,140.43333333333334,140.13333333333335,139.5666666666667,138.70000000000002,913.3333333333334,912.3333333333334,910.0,906.3333333333334,901.0,895.6666666666666,920.6666666666666,919.3333333333334,917.3333333333334,914.0,909.0,903.6666666666666,139.26666666666665,140.0,140.66666666666666,141.16666666666666,140.83333333333334,139.63333333333333
2019-02-01,139.9,127.6,119.5,917.0,925.0,137.5,1949.2,21623.3,26862.08,36591.13,-9729.05,67735.0,71.2,542130.255,3597.8283333333334,838.6816666666667,-516.0933333333332,2243.048333333333,2369.6666666666665,140.16666666666666,140.53333333333333,140.56666666666666,140.43333333333334,140.13333333333335,139.5666666666667,914.0,913.3333333333334,912.3333333333334,910.0,906.3333333333334,901.0,921.6666666666666,920.6666666666666,919.3333333333334,917.3333333333334,914.0,909.0,138.43333333333334,139.26666666666665,140.0,140.66666666666666,141.16666666666666,140.83333333333334
2019-03-01,140.4,144.1,119.9,924.0,932.0,138.1,789.18,23170.18,32725.19,43690.44,-10965.26,62298.26,69.17,529944.6366666666,3359.2383333333332,1071.0433333333333,1220.875,3509.063333333333,4206.166666666667,139.86666666666667,140.16666666666666,140.53333333333333,140.56666666666666,140.43333333333334,140.13333333333335,915.0,914.0,913.3333333333334,912.3333333333334,910.0,906.3333333333334,923.0,921.6666666666666,920.6666666666666,919.3333333333334,917.3333333333334,914.0,137.70000000000002,138.43333333333334,139.26666666666665,140.0,140.66666666666666,141.16666666666666
2019-04-01,141.2,126.5,121.1,932.0,939.0,139.4,4385.56,24579.71,26037.65,42387.26,-16349.6,29572.0,69.84,522477.4933333334,3525.23,1026.1366666666665,2032.3100000000002,4531.400000000001,4497.333333333333,139.96666666666667,139.86666666666667,140.16666666666666,140.53333333333333,140.56666666666666,140.43333333333334,918.6666666666666,915.0,914.0,913.3333333333334,912.3333333333334,910.0,926.6666666666666,923.0,921.6666666666666,920.6666666666666,919.3333333333334,917.3333333333334,137.66666666666666,137.70000000000002,138.43333333333334,139.26666666666665,140.0,140.66666666666666
2019-05-01,142.0,135.4,121.6,940.0,948.0,140.9,2818.36,24318.28,29849.71,46683.35,-16833.65,22100.0,69.81,521039.1083333334,3941.691666666666,1152.3083333333332,1839.8149999999998,4629.196666666666,4744.333333333333,140.5,139.96666666666667,139.86666666666667,140.16666666666666,140.53333333333333,140.56666666666666,924.3333333333334,918.6666666666666,915.0,914.0,913.3333333333334,912.3333333333334,932.0,926.6666666666666,923.0,921.6666666666666,920.6666666666666,919.3333333333334,138.33333333333334,137.66666666666666,137.70000000000002,138.43333333333334,139.26666666666665,140.0
2019-06-01,144.1,129.3,121.5,950.0,957.0,142.7,6788.6,24363.94,25027.35,41032.49,-16005.15,29851.0,68.92,521908.2166666666,4497.346666666666,1095.28,2379.7633333333333,5781.829999999999,5009.833333333333,141.20000000000002,140.5,139.96666666666667,139.86666666666667,140.16666666666666,140.53333333333333,932.0,924.3333333333334,918.6666666666666,915.0,914.0,913.3333333333334,939.6666666666666,932.0,926.6666666666666,923.0,921.6666666666666,920.6666666666666,139.46666666666667,138.33333333333334,137.66666666666666,137.70000000000002,138.43333333333334,139.26666666666665
2019-07-01,144.2,131.8,121.3,958.0,965.0,144.7,3482.41,23974.87,26231.64,40430.65,-14199.01,50606.4,68.86,518686.8166666667,4603.098333333333,1234.2166666666665,2516.2233333333334,5885.106666666667,5437.166666666667,142.4333333333333,141.20000000000002,140.5,139.96666666666667,139.86666666666667,140.16666666666666,940.6666666666666,932.0,924.3333333333334,918.6666666666666,915.0,914.0,948.0,939.6666666666666,932.0,926.6666666666666,923.0,921.6666666666666,141.0,139.46666666666667,138.33333333333334,137.66666666666666,137.70000000000002,138.43333333333334
2019-08-01,145.0,126.2,121.5,965.0,972.0,145.9,1850.74,23895.34,25987.94,39852.08,-13864.15,44553.0,71.76,514747.7666666666,4646.186666666667,1293.715,2259.9249999999997,5612.3983333333335,5521.333333333333,143.4333333333333,142.4333333333333,141.20000000000002,140.5,139.96666666666667,139.86666666666667,949.3333333333334,940.6666666666666,932.0,924.3333333333334,918.6666666666666,915.0,956.6666666666666,948.0,939.6666666666666,932.0,926.6666666666666,923.0,142.76666666666665,141.0,139.46666666666667,138.33333333333334,137.66666666666666,137.70000000000002
