Period,Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,Commercial Paper (Amount Outstanding) (in Crore),Consumer Price Index for Food and Beverages,Net Foreign Direct Investment (US $ Million),Direct Investment to India (US $ Million),Foreign Direct Investment By India (US $ Million),Net Portfolio Investment (US $ Million),Total Investment Inflows (US $ Million),FCNR(B)-Foreign Currency Non-Resident (Banks) (US $ Million),External Commercial Borrowings Registrations (US $ Million),Foreign Trade Exports Total (US $ Million),Foreign Trade Imports Total (US $ Million),Foreign Trade Balance Total (US $ Million),Market Borrowing SG Gross Amount Raised (in Crore),Exchange Rate of Indian Rupee to US Dollar (Month End)
Apr-2025,192.6,151.8,154.2,1307.0,1320.0,545586.95,196.0,3944.6,7134.84,3190.25,-3097.3,847.29,33080.99,2917.0,76679.88,129820.87,-53141.0,53870.0,85.05
Mar-2025,192.0,166.3,154.8,1306.0,1319.0,442892.7,196.2,-437.84,3322.36,3760.21,3877.16,3439.32,32809.42,11043.0,83935.38,127014.28,-43078.91,224897.11,85.58
Feb-2025,192.5,151.1,154.9,1309.0,1321.0,465926.95,197.6,-808.09,2673.41,3481.5,-4041.29,-4849.38,32492.04,2824.0,73639.12,101927.34,-28288.22,122593.06,87.4
Jan-2025,193.4,161.6,155.0,1316.0,1328.0,456483.15,200.9,1980.33,3996.04,2015.71,-6591.49,-4611.16,32754.06,3998.0,72689.78,118860.67,-46170.89,111673.15,86.64
Dec-2024,195.4,158.0,155.7,1320.0,1331.0,435779.45,205.9,-148.29,1964.08,2112.37,1811.78,1663.49,32198.08,9543.0,75606.41,116957.62,-41351.21,88662.0,85.62
Nov-2024,196.5,148.1,156.4,1320.0,1331.0,445122.05,208.4,-2677.92,-124.37,2553.55,-2256.94,-4934.86,32040.0,2833.0,63913.91,127857.02,-63943.11,55006.0,84.5
Oct-2024,196.8,150.3,156.7,1315.0,1326.0,445104.9,209.4,49.84,1813.1,1763.26,-10926.87,-10877.04,31871.04,5499.0,77946.67,130139.03,-52192.36,84842.0,84.09
Sep-2024,194.2,146.9,154.7,1304.0,1316.0,397590.45,204.8,-960.09,1183.92,2144.01,9712.45,8752.36,31080.27,4841.0,68606.87,117439.25,-48832.38,82243.0,83.79
Aug-2024,193.0,145.8,154.4,1297.0,1309.0,471121.5,202.7,1187.99,3570.25,2382.26,4297.8,5485.8,29204.06,5909.0,68964.43,137019.61,-68055.17,89190.0,83.87
Jul-2024,193.0,149.8,155.3,1290.0,1302.0,458911.05,203.3,-2542.11,390.89,2933.0,5839.8,3297.69,28572.43,3581.0,69414.39,118947.08,-49532.7,68382.88,83.74
